row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
0,-0.020918088,0.06536694,-0.029379325,0.01462951,0.0029434273,0.023399055,0.052738816,0.043825556,-0.03586777,0.08141417,0.028923685,-0.040271718,0.050098896,-0.0019121972,0.031827062,-0.12060637
1,0.119334206,0.11886146,-0.048835922,-0.120664135,-0.038599942,-0.062567696,0.01602938,0.040489323,-0.0015936256,0.06804477,0.012630976,-0.055100586,-0.084705114,0.00033514638,-0.07439706,-0.02537785
2,0.031738088,-0.050177068,0.008013028,0.025407057,0.07193402,0.027538272,-0.05268185,-0.075407445,-0.044701144,-0.059608836,0.05469902,-0.03617038,-0.054041296,0.024003366,0.06396257,-0.0019421915
3,-0.13563807,0.01193236,0.054495633,0.11394119,0.023853365,0.07594395,-0.10781274,0.14176941,-0.09103036,-0.063440315,0.08098873,-0.023144206,0.08344888,-0.05090844,0.07238502,0.13604301
4,-0.008096988,0.049236856,-0.11473787,-0.033142015,0.050879955,0.06495463,-0.03753378,0.050201174,-0.024493877,-0.07623998,-0.004837952,-0.054478448,-0.09127779,0.0076133874,0.01722803,0.025044303
5,0.055549663,-0.048552275,-0.009347327,0.1219809,-0.08087552,0.0061930497,0.082636245,0.11241192,-0.09870573,0.010877534,-0.05831435,0.09615344,-0.019035224,-0.033740364,-0.043894492,0.12319318
6,0.01391409,0.04471604,0.016046114,-0.03572591,-0.07737815,-0.033824723,0.021273104,0.031775746,0.07504244,-0.106643565,-0.013872285,-0.08177237,-0.062021323,-0.04045261,-0.025640875,-0.122573316
7,0.0957366,-0.009173039,0.04060618,0.07091843,0.0453692,0.044360396,0.06739589,0.08189972,-0.002661046,0.06885269,-0.0056000673,-0.025525663,0.06297108,0.026518097,-0.0106977755,-0.092492305
8,0.0056455857,0.05197911,-0.033534933,0.025169345,0.070048,-0.07391292,-0.022876823,-0.043559507,-0.060714774,0.06568432,0.07510259,-0.001842347,0.061574083,-0.035008047,0.003034714,-0.028770702
9,-0.09144723,0.014224678,-0.01059219,0.010073739,0.05590127,0.03410019,0.098820284,0.013922912,0.0023453601,0.004970518,0.005485638,-0.045416903,-0.019818446,-0.03373127,-0.06642744,-0.07589381
10,0.06719146,-0.044639107,0.0018994928,0.023861527,0.09868232,0.032318607,-0.07665617,0.12376553,-0.10144413,0.027563188,0.045109324,0.050646443,-0.017596401,0.0017885306,0.016655039,0.09188541
11,-0.08314168,-0.032123405,-0.080764905,0.045621827,0.042882297,0.059779856,-0.03685464,-0.10583611,-0.06304925,-0.09656842,-0.04512294,0.047368106,-0.08329478,-0.010981435,-0.09805863,-0.09165714
12,-0.103110634,-0.04105549,-0.07300769,0.028139811,0.08889563,0.09747169,0.051999204,0.013762844,-0.043748353,0.101332076,-0.08615456,0.103847966,-0.10628677,-0.058220893,0.011726311,-0.04022484
13,0.02294668,0.10502635,0.048006587,0.10690755,-0.057300787,-0.039024137,-0.022193471,-0.04794286,-0.030583555,-0.030443039,0.11109159,-0.079760015,0.05054018,0.034277182,0.07684988,0.008675041
14,-0.019612694,0.039756343,-0.03267381,-0.08400078,0.11687313,0.062449325,-0.09164223,0.09866026,0.024437401,0.027661446,0.09415567,-0.005040175,-0.033877324,0.024075836,4.588743e-05,-0.037208717
15,-0.05121247,0.1295813,0.06412199,-0.029816244,-0.023449995,-0.0044582635,-0.08871133,0.016423149,-0.06522836,-0.015968153,-0.018364236,-0.056319475,0.08101877,0.0071803154,0.071243905,-0.094898604
